transaction_id,step,type,amount,customer_id,age,is_fraud
38d8cd1a-ab64-48a8-982b-547db096f8a5,421,PAYMENT,311000,C13646530,24,0
2440928e-8a4c-4e74-a9c5-6329668be13d,325,PAYMENT,399600,C9452763,25,0
973c2a3c-5676-477c-ac30-81334b01e90d,565,PAYMENT,7500,C31260354,38,0
5413d0f4-b4f0-406f-bd91-91de1dce573c,511,TRANSFER,94000,C8841991,26,0
c9fa99e2-42c8-4dd8-94ba-aa3e44bfdd98,63,CASH_OUT,15000,C3176716,26,0
fb3ef0a1-ce2e-4479-a621-f2267c2d697d,468,CASH_OUT,111800,C728995,20,0
f06bafef-fe08-4469-ac5b-c334698cf354,706,PAYMENT,37000,C12692187,29,0
5cdf85dc-32fe-49c3-a55c-fed0b2ef32d2,602,DEBIT,91500,C26312927,22,0
47c2812c-8507-42d0-b608-9c35e886a498,183,CASH_OUT,270000,C3105884,47,0
5bae90fc-a546-4b37-aa2b-52534340bb34,373,CASH_OUT,18500,C80405467,22,0
5228895d-6b21-4037-9ae2-f15ccc09b6cd,86,DEBIT,90000,C99892045,26,0
d605d074-2397-42db-862f-9e57d90783f7,607,TRANSFER,11600,C72410994,22,0
6daff618-6671-4491-bcb3-ff1f9f87381d,478,TRANSFER,27000,C15419552,27,0
43ec4de1-a622-478a-b475-7af094fd6b57,212,PAYMENT,117000,C55945650,25,0
9375ed27-3d3a-4260-bf4d-f0fd86250e0e,63,TRANSFER,41500,C33742646,21,0
85f4a5ab-e13c-4f20-b61e-d06da98eee44,393,PAYMENT,209500,C65882536,25,0
208d0382-c012-4f91-9908-6ee6ba539d02,629,TRANSFER,23500,C87739368,27,0
f8235d37-2160-496d-99b3-eb9d96075aa9,346,PAYMENT,91900,C85927059,25,0
8eee1059-a2e1-4e10-a194-e1f77fc2bb8a,427,DEBIT,68400,C31799638,55,0
ce7b2020-0c8f-47f7-8939-96b26f276348,376,TRANSFER,16000,C44067471,29,0
ffa8391b-aa46-4344-90cf-f324c3e4b989,62,PAYMENT,9500,C22473670,23,0
269fb6ec-fa5d-430a-b11d-cd6418dcc883,516,CASH_OUT,211800,C54785988,23,0
5cecfb8f-d1c8-4d35-bb7a-986df1a24949,544,PAYMENT,19000,C78001064,72,0
9567947f-37e0-447e-8776-47d3b302f582,417,CASH_OUT,10000,C80731026,24,0
47713e62-487c-475c-a318-f222cd47cc4c,586,PAYMENT,115000,C95786145,22,0
f7d6c443-f6d3-49dd-8d4b-ad08e329de32,465,TRANSFER,5500,C45539572,22,0
1375fb24-12ab-4feb-b5ca-85923803a5a3,449,TRANSFER,5000,C31515556,32,0
6d9f3903-1513-41ab-8939-2bfa70ec582d,693,DEBIT,16000,C81006534,59,0
51c0b7c0-496b-448f-aa47-09f382c59885,463,DEBIT,7500,C17308306,28,0
5a35b309-3385-418e-aa75-0c04cd4c7600,667,DEBIT,58700,C24470406,27,0
d308089a-d8eb-4e24-8a3c-b5af5b462e16,512,CASH_OUT,16500,C22673455,39,0
6129e7a3-daed-4fa7-8bcf-c44c19b3324b,595,DEBIT,21500,C84264492,80,0
934eb102-7731-449c-93ae-e342a15d22c6,488,PAYMENT,553300,C43219551,22,0
2cf97e70-e00f-45b9-896a-3947d8501216,82,TRANSFER,117800,C79721296,32,0
65433158-e462-4414-8a87-9813e054e385,681,TRANSFER,110000,C45418284,18,1
8e07804b-b2dd-4c77-a02c-a4d9f87df735,40,PAYMENT,30500,C73115929,27,0
c3bdc3fd-f3e9-481d-ba25-7bec0881b4ac,274,CASH_OUT,55000,C76453545,30,0
b53abdbb-ea0a-40b1-9f0e-f8078b890f66,423,TRANSFER,139400,C21659599,57,0
dfbb96f6-7260-4593-bd31-2a8d2975d216,346,TRANSFER,15700,C24700963,82,0
297c0ebb-2d66-4d19-b048-a1b185826700,369,PAYMENT,189900,C42275659,29,0
8b6d9375-6ef6-48f9-b3d9-5e2133174d67,306,TRANSFER,7500,C33301338,24,0
a830fd6c-8a1d-4f69-9313-32b7586585e3,685,TRANSFER,80000,C40444536,21,0
5e71554c-f516-435b-ae68-598cb6549b2e,199,PAYMENT,134000,C99177291,27,0
8c80adc2-0a1a-4191-821e-2fa28baab666,441,TRANSFER,144000,C80537904,58,0
20fb5235-2937-4136-b885-ad006646523b,191,PAYMENT,4500,C87004130,61,0
71ac2681-e22e-47cf-ac0b-2859d9090722,206,PAYMENT,74000,C86282996,74,0
b219f5d1-4ed2-45cd-b326-a12c0efac2dd,335,PAYMENT,14200,C19833754,22,0
4e143f64-ea59-40e3-abdc-9af13dc6c6e9,13,PAYMENT,95000,C75463226,64,0
8b3f768e-9c0a-4212-976d-3f53e501bbce,498,CASH_OUT,7000,C46224084,27,0
9569d688-33c2-4e8b-ad41-a3c77ea306ac,615,PAYMENT,436200,C51736919,22,0
59a83e32-0980-4f19-b0ee-8ccfb33f0c0e,38,PAYMENT,722500,C6936287,25,0
1eb88959-7ed4-4959-b34f-6247bae967e0,125,PAYMENT,504100,C5679578,29,0
de8ff466-3908-485f-bb6b-ad8cbbc57287,589,PAYMENT,26000,C73235307,84,0
8a6c8550-a500-4cf3-b39e-bf33ba743b22,7,PAYMENT,34500,C6972564,28,0
aa14fde7-93bb-4b4d-ba1a-f379648116ed,57,PAYMENT,20500,C35499312,22,0
6358771d-c3c4-43b6-8a4e-edd3e0071593,133,CASH_OUT,84400,C34398872,25,0
fbfd0718-2bd2-4649-9781-fe6dac3dbc07,442,PAYMENT,5500,C50542586,30,0
d6552f14-d5bc-4c9c-af5a-e5a0779caa86,58,CASH_OUT,10800,C76611641,20,0
bbd7dd45-3d9d-46a0-a9a4-8b25933f90f2,174,DEBIT,119100,C90862494,74,0
a52e0c40-f69d-432f-88b7-8bf275a2c701,40,PAYMENT,15500,C86410102,26,0
a21cf3a5-8f74-4f46-8f13-d17243b43fb4,107,CASH_OUT,110900,C11633817,54,0
eb2d8890-39c8-46e1-a952-a891329cc7e3,160,PAYMENT,3000,C34730117,23,0
93212d1e-6fc4-473c-a6c3-c47d395f59fb,14,DEBIT,30500,C84814577,72,0
3c4b9ea5-ed5d-4b31-be2b-d337a4482f3a,221,PAYMENT,36900,C35610914,19,0
8e4cfecf-e0e8-4ff0-a21c-f7cde345a5cc,174,CASH_OUT,95000,C54270913,26,0
4bb5d0f5-ccda-4026-9a07-570af4f357b1,629,PAYMENT,61500,C8296847,23,0
cc735478-9915-4e07-80eb-2ad864b541fb,596,PAYMENT,45500,C64765181,26,0
9a9280a6-3293-403e-b6be-a496908a412d,561,TRANSFER,151000,C4286654,65,0
8e6eac7b-9257-46fb-884d-29f5e24fe474,564,TRANSFER,23500,C91791666,30,0
83d6ae0c-33d7-4e5a-a79f-9259424bb46a,109,DEBIT,101000,C80111160,41,0
59f0c3dd-4a52-41b6-9d89-d570a3e39a3d,135,TRANSFER,17500,C94478224,24,0
f5fc68ee-be7e-4c2f-9ea8-dfdfae7fd7a1,224,PAYMENT,9400,C45635783,26,0
f9aafc74-59c3-4f56-9ab3-0bc3645b6e27,181,PAYMENT,89100,C21852720,28,0
f2dfdd12-6f82-4621-add5-417fae542052,590,DEBIT,7000,C25429616,28,0
38e931d0-e9fc-4ea6-85a6-510e8b3c6fde,135,TRANSFER,29500,C80954484,35,0
b6a6d287-466f-41eb-bb81-e39726bd8a12,287,TRANSFER,415500,C74447484,23,0
8bc02d7d-4311-46cf-8591-d5deda1d7684,565,CASH_OUT,36500,C54340043,21,0
9deb9917-d2d6-4bf1-a4df-bb2a37640a9d,511,CASH_OUT,79200,C54390282,22,0
fb1ddbfc-ac29-4d67-ab97-764ce0417f72,399,TRANSFER,18500,C5826334,27,0
58fab1d4-1e49-47c6-ab3b-ffc9586f9a22,177,CASH_OUT,33500,C86055105,61,0
6364432f-71c0-4d7c-848f-ecceb93d33c0,343,CASH_OUT,49500,C54992810,25,0
e187b70a-c220-4cbd-a1e9-4a1e3b2a8d60,253,CASH_OUT,60800,C39396872,54,0
875d9d88-10b6-4820-bbec-89c5d4acb141,53,PAYMENT,393000,C56544138,73,0
8d4acc17-3124-4af3-9fac-80220f448752,404,PAYMENT,86000,C82155323,66,0
fa97fe90-1d17-4632-8819-0fb78f32feef,661,CASH_OUT,34000,C3925223,29,0
f03e5e3c-91e3-4e6f-8ff6-c0a702a422a4,657,CASH_OUT,12500,C8396972,21,0
87a5c288-8cf5-45bb-9fd6-fb90478c919d,536,DEBIT,18000,C40418236,25,0
cbed651a-74f5-4b8e-b40d-91000478b35b,368,PAYMENT,4200,C92718473,23,0
30e7971f-5140-4c80-af74-2b98d03aa72d,464,CASH_OUT,2240000,C80044921,30,0
bbef8d94-3d67-4a34-af16-e5b4747fce4b,229,PAYMENT,60100,C39009309,24,0
66deab9e-9da8-4c97-a35d-637d79af2b3b,313,PAYMENT,13500,C6214193,30,0
5afd408d-e14d-4685-bcd2-0f950943fd1d,274,PAYMENT,19000,C96338928,20,0
7e855436-43a9-43d2-a2a7-6e43a5805a3a,527,TRANSFER,57000,C9389212,75,0
5a4679b8-20ca-4859-aafc-fa804925b7b4,493,CASH_OUT,600,C96211701,27,0
364b50b2-b96a-450e-9535-6cf0643920b3,655,TRANSFER,21100,C79345859,20,0
536e76af-6691-45f9-9019-2462a4cedd04,549,PAYMENT,407500,C70072166,28,0
82c91d10-5bfd-4693-b5f9-1b6b1861bdaa,13,PAYMENT,43000,C30476470,22,0
22e8644c-6961-4fbf-9237-d476cd3392c8,486,CASH_OUT,31500,C48499258,26,0
7322895d-311d-47f5-a2cd-88405798071e,296,CASH_OUT,1246500,C74299994,25,0
1f4991ad-140f-491b-96c1-8689e4b6567a,525,TRANSFER,9900,C34940917,53,0
4525cab4-580f-418b-9b72-8a3274fdf5ae,329,CASH_OUT,159000,C25013660,30,0
df2266a5-b768-4b6a-9e95-71c23bbf9f47,582,PAYMENT,4500,C68309485,21,0
9954b0c6-831a-452b-b13a-876ff8cecd40,223,PAYMENT,47000,C7675078,65,0
7dd9eca8-3eeb-41b9-8b72-aa4681319606,561,CASH_OUT,16500,C51934220,21,0
7a716d6c-9ebc-4349-81b2-03b709e603fd,587,CASH_OUT,2000,C87587301,23,0
9b3bc467-9339-4584-a1a4-71009156c848,501,TRANSFER,1343500,C2159576,24,0
0e9dc53c-0f07-4d04-9832-256adeb91d32,561,CASH_OUT,191500,C85439900,74,0
9437a832-f037-4229-9e1e-66535be6f400,523,PAYMENT,80000,C38142985,22,0
4fd5f2c6-1ba7-4284-92f1-be8bab6363bd,8,DEBIT,32600,C24508031,54,0
2f8c3cf5-84fa-4e43-a518-ac1fd4ea83af,321,PAYMENT,17000,C36969901,23,0
da633b6b-0ef0-46fd-8ee7-3e773042b5fb,687,CASH_OUT,2800,C49701908,24,0
7eb82968-566b-448b-8287-1c4f8fbc159f,507,PAYMENT,211300,C12009376,23,0
b42fdf2f-15a2-4fca-b652-4876a5f81ef5,294,DEBIT,386000,C62409777,19,0
b55d4c3a-02b8-4b86-ab35-2b793a2423de,301,TRANSFER,1402000,C95829778,24,0
5aea134a-37fa-4084-b2fb-a92d6e9d09f7,536,TRANSFER,31000,C74040017,72,0
1f491e28-dabf-4b9a-8b43-dc20a2ad603d,490,TRANSFER,44000,C85847012,18,0
65433f88-ff87-47c6-84c6-ffbdd27afb33,617,PAYMENT,204500,C79932962,62,0
bbea4fd8-e45e-485b-9d0d-d8984306ef9c,318,CASH_OUT,48000,C38782028,72,0
32124100-1481-4da0-9233-762ecb1afb60,428,TRANSFER,11500,C30721606,28,0
72d60da0-3c15-4580-8729-8c66ed5ef0d9,186,PAYMENT,79300,C35164916,63,0
d97d803b-24e0-4ead-8e61-a2e99f838dca,178,PAYMENT,160000,C86728841,28,0
328fd04c-95bd-49b2-9b48-3ed5ff80f74b,190,TRANSFER,11000,C50396643,22,0
97e28e3d-449b-4c38-b401-39cd35a8a52a,472,PAYMENT,13400,C56578318,29,0
5e9fda73-aa52-4828-a8ae-d06f4399b295,596,PAYMENT,99500,C22081594,19,0
0d8dfc0c-1b07-4b63-bc47-6d508be8b0d7,85,PAYMENT,3600,C75057566,26,0
16aaa3f3-4448-49bd-b1f8-2fbfda94025e,472,PAYMENT,24000,C28290751,23,0
97159daa-00c2-463c-a367-ef5d2ee83cb7,128,TRANSFER,77000,C95069297,29,0
ad1e6b48-5b68-45fa-9947-67dd149d90c5,233,PAYMENT,8200,C97225407,22,0
0643a6d4-4a34-4c3e-b4d0-9a8d57a59db5,467,CASH_OUT,414000,C82322947,25,0
eaad1b0c-b0c8-4e69-8ec2-4bd6338af5da,441,DEBIT,16000,C97523229,19,0
ce48c4f3-1aa4-483b-b3d9-21c6878f3d44,260,TRANSFER,12100,C47624336,51,0
7bcdefda-f8e6-4fee-9831-68b9a10017b9,130,PAYMENT,415000,C28357164,43,0
